"Date",,"Berri1","CSC","Mais1","Mais2","Parc","PierDup","Rachel1","Totem_Laurier"
"01/01/2013","00:00",0,0,1,0,6,0,1,0
"02/01/2013","00:00",69,0,13,0,18,0,2,0
"03/01/2013","00:00",69,2,21,6,22,1,0,0
"04/01/2013","00:00",80,0,22,4,16,0,125,0
"05/01/2013","00:00",52,4,19,3,12,0,97,0
"06/01/2013","00:00",37,0,23,46,8,0,47,0
"07/01/2013","00:00",159,0,81,211,60,0,200,0
"08/01/2013","00:00",327,0,156,393,66,0,335,0
"09/01/2013","00:00",332,0,155,446,84,0,366,0
"10/01/2013","00:00",391,0,232,516,88,0,463,0
"11/01/2013","00:00",423,0,199,464,132,0,407,0
"12/01/2013","00:00",182,0,138,229,82,0,264,0
"13/01/2013","00:00",111,3,74,179,89,0,215,0
"14/01/2013","00:00",490,58,349,752,400,0,565,0
"15/01/2013","00:00",581,70,365,771,383,0,658,0
"16/01/2013","00:00",553,78,360,778,410,0,553,0
"17/01/2013","00:00",326,28,187,463,206,1,423,0
"18/01/2013","00:00",281,12,189,366,205,0,315,0
"19/01/2013","00:00",49,0,26,104,24,0,91,0
"20/01/2013","00:00",50,0,39,57,26,6,74,0
"21/01/2013","00:00",143,7,77,301,127,0,235,0
"22/01/2013","00:00",154,4,108,307,110,0,257,0
"23/01/2013","00:00",111,7,67,231,71,1,163,0
"24/01/2013","00:00",128,5,76,246,83,1,189,0
"25/01/2013","00:00",139,3,81,250,87,2,217,0
"26/01/2013","00:00",40,0,44,108,43,0,119,0
"27/01/2013","00:00",48,1,50,108,50,0,90,0
"28/01/2013","00:00",198,6,132,339,141,4,265,0
"29/01/2013","00:00",218,0,135,312,111,5,294,0
"30/01/2013","00:00",284,3,202,403,185,4,336,0
"31/01/2013","00:00",237,33,152,395,135,0,295,0
"01/02/2013","00:00",233,24,179,325,159,11,294,0
"02/02/2013","00:00",82,10,51,103,55,1,155,0
"03/02/2013","00:00",85,4,51,91,27,9,128,0
"04/02/2013","00:00",234,6,137,389,163,4,325,0
"05/02/2013","00:00",295,8,172,407,188,5,327,0
"06/02/2013","00:00",325,9,196,447,244,13,379,0
"07/02/2013","00:00",234,7,162,403,192,3,328,0
"08/02/2013","00:00",148,0,71,212,43,2,138,0
"09/02/2013","00:00",58,0,59,81,44,0,113,0
"10/02/2013","00:00",82,0,61,128,45,0,146,0
"11/02/2013","00:00",225,2,135,341,150,3,274,0
"12/02/2013","00:00",342,0,181,446,188,5,392,0
"13/02/2013","00:00",363,0,239,540,220,7,441,94
"14/02/2013","00:00",440,3,290,567,234,19,472,216
"15/02/2013","00:00",301,0,208,480,180,7,373,137
"16/02/2013","00:00",156,2,120,215,106,11,252,107
"17/02/2013","00:00",118,0,65,152,66,10,184,82
"18/02/2013","00:00",265,1,177,407,205,4,359,134
"19/02/2013","00:00",403,3,236,451,252,7,437,204
"20/02/2013","00:00",162,0,73,164,82,0,174,143
"21/02/2013","00:00",160,0,94,224,66,4,200,144
"22/02/2013","00:00",259,1,162,328,135,0,330,223
"23/02/2013","00:00",110,0,81,103,34,3,131,99
"24/02/2013","00:00",75,1,85,128,53,2,144,120
"25/02/2013","00:00",284,0,212,455,205,1,410,391
"26/02/2013","00:00",411,1,290,565,262,6,522,432
"27/02/2013","00:00",297,2,178,405,162,4,351,340
"28/02/2013","00:00",205,0,138,339,126,6,283,306
"01/03/2013","00:00",291,1,221,442,172,12,395,351
"02/03/2013","00:00",169,1,111,184,79,12,238,209
"03/03/2013","00:00",119,0,74,101,46,1,133,87
"04/03/2013","00:00",252,1,149,420,135,4,357,249
"05/03/2013","00:00",484,2,312,577,171,11,400,229
"06/03/2013","00:00",475,6,290,636,222,16,539,457
"07/03/2013","00:00",484,7,295,572,267,16,562,454
"08/03/2013","00:00",536,12,387,772,300,26,621,553
"09/03/2013","00:00",415,24,311,569,252,98,671,543
"10/03/2013","00:00",345,43,204,463,234,67,550,488
"11/03/2013","00:00",669,227,430,1092,622,50,883,700
"12/03/2013","00:00",478,153,327,663,407,20,595,649
"13/03/2013","00:00",831,360,547,1197,654,46,946,696
"14/03/2013","00:00",523,178,320,722,422,10,647,519
"15/03/2013","00:00",542,196,415,714,389,15,651,607
"16/03/2013","00:00",243,103,175,355,212,41,420,418
"17/03/2013","00:00",232,114,193,440,185,28,430,398
"18/03/2013","00:00",511,273,366,802,491,29,703,603
